Participant Public ID,Sex,Sex-quantised,Age,IMD Score,Crime Rank,CFC Q1,CFC Q1-quantised,CFC Q2,CFC Q2-quantised,CFC Q3,CFC Q3-quantised,Q3 Reversed,CFC Q4,CFC Q4-quantised,Q4 Reversed,CFC Q5,CFC Q5-quantised,Q5 Reversed,CFC Q6,CFC Q6-quantised,CFC Q7,CFC Q7-quantised,CFC Q8,CFC Q8-quantised,CFC Q9,CFC Q9-quantised,Q9 Reversed,CFC Q10,CFC Q10-quantised,Q10 Reversed,CFC Q11,CFC Q11-quantised,Q11 Reversed,CFC Q12,CFC Q12-quantised,Q12 Reversed,CFC Mean Score,PGG Round 1,PGG Round 2,PGG Round 3,PGG Round 4,PGG Round 5,PGG Mean Contribution
1634,Female,2,33,6300,14579,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5
3838,Female,2,23,16989,10309,4,4,3,3,1,1,5,2,2,4,4,4,2,3,3,4,4,2,2,2,2,4,2,2,4,1,1,5,3,3,3,2.583333333,1,9,1,1,9,4.2
3961,Male,1,21,32540,29044,3,3,3,3,3,3,3,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,0,0,1,6,1.8
4041,Male,1,22,6697,6270,5,5,3,3,5,5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,3,0,1.4
3830,Female,2,34,19017,13872,5,5,4,4,2,2,4,2,2,4,4,4,2,3,3,4,4,4,4,2,2,4,3,3,3,2,2,4,2,2,4,2.75,1,5,5,5,5,4.2
4031,Female,2,20,22384,15978,4,4,4,4,3,3,3,2,2,4,3,3,3,5,5,5,5,3,3,1,1,5,2,2,4,2,2,4,2,2,4,2.5,6,5,5,4,7,5.4
3890,Female,2,18,11562,10325,3,3,4,4,1,1,5,2,2,4,4,4,2,4,4,4,4,4,4,1,1,5,3,3,3,2,2,4,4,4,2,3,1,2,4,5,7,3.8
3896,Female,2,20,29031,32190,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,4,2.75,5,5,7,5,2,4.8
3909,Male,1,19,9693,18029,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,6,4,3,2,5
4011,Female,2,20,24850,14205,4,4,5,5,2,2,4,3,3,3,4,4,2,5,5,3,3,4,4,5,5,1,1,1,5,2,2,4,4,4,2,3.166666667,5,6,9,9,2,6.2
3680,Female,2,22,23246,8559,3,3,4,4,3,3,3,2,2,4,2,2,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,4,2.833333333,10,2,2,3,6,4.6
4044,Female,2,19,11985,8479,3,3,4,4,2,2,4,5,5,1,5,5,1,5,5,5,5,3,3,4,4,2,4,4,2,4,4,2,2,2,4,3.083333333,10,7,2,1,10,6
