PersonID,Condition,PrePostDepletion,Mean_Consumption,Rounds,Starting value,Knows Opp,Friends
1,0,0,30,5,1,0,0
2,0,0,22.2,5,1,0,0
3,0,0,8.83,6,1,0,0
4,0,0,9.83,6,1,0,0
5,0,0,23.6,3,1,1,1
6,0,0,25,3,1,1,1
7,0,0,40,1,1,0,0
8,0,0,10,1,1,0,0
9,0,0,22.6,3,1,1,1
10,0,0,26,3,1,1,1
11,0,0,26,5,1,0,1
12,0,0,21,5,1,0,1
13,0,0,25,4,1,0,0
14,0,0,18.5,4,1,0,0
15,0,0,13.6,5,1,1,1
16,0,0,35,5,1,1,1
17,0,0,20,5,1,0,0
18,0,0,49,5,1,0,0
19,0,0,60,1,1,1,1
20,0,0,75,1,1,1,1
21,0,0,20,1,1,0,0
22,0,0,72,1,1,0,0
23,0,0,30,1,1,0,0
24,0,0,64,1,1,0,0
25,0,0,25,1,1,1,1
26,0,0,37,1,1,1,1
27,0,0,29.5,2,1,0,0
28,0,0,37,2,1,0,0
29,0,0,40,1,1,1,1
30,0,0,25,1,1,1,1
31,0,0,30,1,1,1,1
32,0,0,30,1,1,1,1
33,0,0,31,3,1,1,1
34,0,0,16,3,1,1,1
35,0,0,27.5,2,1,1,1
36,0,0,23,2,1,1,1
37,0,0,38.3,3,1,1,1
38,0,0,22.6,3,1,1,1
39,0,0,41,1,1,1,1
40,0,0,25,1,1,1,1
41,0,0,25,1,1,0,0
42,0,0,45,1,1,0,0
43,0,0,30,1,1,0,0
44,0,0,50,1,1,0,0
45,0,0,40,1,1,1,1
46,0,0,40,1,1,1,1
47,0,0,30,1,1,0,0
48,0,0,40,1,1,0,0
49,0,0,21.6,3,1,0,0
50,0,0,27.6,3,1,0,0
51,0,0,23.25,4,1,1,1
52,0,0,26.25,4,1,1,1
53,0,0,13.3,3,1,0,0
54,0,0,21.6,3,1,0,0
55,0,0,17.5,2,1,0,1
56,0,0,30,2,1,0,1
57,0,0,40,1,1,1,1
58,0,0,50,1,1,0,1
59,0,0,20,2,1,0,0
60,0,0,35,2,1,0,0
61,0,0,25,1,1,,
62,0,0,50,1,1,,
63,0,0,23.3,3,1,1,1
64,0,0,25,3,1,1,1
65,0,0,17.5,2,1,1,1
66,0,0,30,2,1,1,1
67,0,0,28.3,3,1,1,1
68,0,0,23.3,3,1,1,1
69,0,0,21.6,3,1,1,1
70,0,0,25,3,1,1,1
71,0,0,32.5,2,1,1,1
72,0,0,20.5,2,1,1,1
73,0,0,100,1,1,0,0
74,0,0,59,1,1,0,0
75,0,0,20,1,1,0,0
76,0,0,32,1,1,0,0
77,0,0,17,2,1,1,1
78,0,0,62.5,2,1,1,1
79,0,0,21.6,3,1,0,0
80,0,0,16,3,1,0,0
81,0,0,40,1,1,1,1
82,0,0,22,1,1,1,1
83,0,0,27.5,2,1,0,0
84,0,0,25,2,1,0,0
85,0,0,25,8,1,1,1
86,0,0,22,8,1,1,1
87,0,0,25,1,1,1,1
88,0,0,35,1,1,1,1
89,0,0,28.75,4,1,0,0
90,0,0,12.5,4,1,0,0
91,0,0,25,1,1,1,1
92,0,0,30,1,1,1,1
93,0,0,35,3,1,0,0
94,0,0,20,3,1,0,0
95,0,0,22.5,8,1,0,0
96,0,0,22.63,8,1,0,0
97,0,0,60,1,1,1,1
98,0,0,48,1,1,1,1
99,0,0,45,1,1,0,0
100,0,0,27,1,1,0,0
101,0,0,21.6,3,1,1,1
102,0,0,30,3,1,1,1
103,0,0,30,1,1,1,1
104,0,0,25,1,1,0,0
105,0,0,28.5,2,1,0,0
106,0,0,20,2,1,0,0
107,0,0,25.4,5,1,1,1
108,0,0,18.6,5,1,1,1
109,0,0,30,1,1,1,1
110,0,0,25,1,1,1,1
111,0,0,30,3,1,1,1
112,0,0,25,3,1,1,1
113,0,0,15,2,1,0,0
114,0,0,26.5,2,1,0,0
115,1,0,70,1,2,1,0
116,1,0,90,1,2,1,0
117,1,0,70,1,2,1,1
118,1,0,20,1,2,1,1
119,1,0,30,1,0,0,1
120,1,0,70,1,0,0,1
121,1,0,50,1,0,0,1
122,1,0,50,1,0,0,1
123,1,0,6,2,0,0,0
124,1,0,31,2,0,0,0
125,1,0,25,1,0,1,1
126,1,0,30,1,0,1,1
127,1,0,13.3,3,0,0,0
128,1,0,18.3,3,0,0,0
129,1,0,22.5,4,2,0,0
130,1,0,28.75,4,2,0,0
131,1,0,40,1,2,0,0
132,1,0,70,1,2,0,1
133,1,0,45,2,0,1,1
134,1,0,20,2,0,1,1
135,1,0,50,3,0,1,1
136,1,0,47,3,0,1,1
137,1,0,25,3,2,0,0
138,1,0,35,3,2,0,0
139,1,0,35,1,0,1,1
140,1,0,20,1,0,1,1
141,1,0,13.55,20,2,0,0
142,1,0,14.65,20,2,0,0
143,1,0,47.5,2,2,0,0
144,1,0,24,2,2,0,0
145,1,0,3,1,2,0,0
146,1,0,85,1,2,0,0
147,1,0,80,1,0,1,1
148,1,0,60,1,0,1,1
149,1,0,12.5,2,0,0,0
150,1,0,32.5,2,0,0,0
151,1,0,40,1,2,1,1
152,1,0,25,1,2,1,1
153,1,0,30,1,0,,
154,1,0,40,1,0,,
155,1,0,28.75,4,2,1,1
156,1,0,23.75,4,2,1,1
157,1,0,60,1,2,0,0
158,1,0,30,1,2,0,0
159,1,0,40,1,0,0,0
160,1,0,40,1,0,0,1
161,1,0,23.3,3,2,0,0
162,1,0,33.3,3,2,0,0
163,1,0,30,2,0,0,0
164,1,0,17.5,2,0,0,0
165,1,0,20,1,0,,
166,1,0,40,1,0,,
167,1,0,40,1,2,,
168,1,0,50,1,2,,
169,1,0,120,1,2,1,1
170,1,0,60,1,2,1,1
171,1,0,95,1,0,0,0
172,1,0,60,1,0,0,0
173,1,0,40,1,2,0,0
174,1,0,45,1,2,0,0
175,1,0,30,1,0,,
176,1,0,60,1,0,,
177,1,0,10,1,2,,
178,1,0,92,1,2,,
179,1,0,36.6,3,2,1,1
180,1,0,8.6,3,2,1,1
181,1,0,15,1,2,0,0
182,1,0,60,1,2,0,0
1,0,1,4,2,1,0,0
2,0,1,6,2,1,0,0
3,0,1,2.83,6,1,0,0
4,0,1,9,6,1,0,0
5,0,1,3,1,1,1,1
6,0,1,30,1,1,1,1
7,0,1,24.75,4,1,0,0
8,0,1,11.25,4,1,0,0
9,0,1,5.83,6,1,1,1
10,0,1,19.16,6,1,1,1
11,0,1,2.88,8,1,0,1
12,0,1,4,8,1,0,1
13,0,1,4.66,3,1,0,0
14,0,1,5,3,1,0,0
15,0,1,2.6,3,1,1,1
16,0,1,5.6,3,1,1,1
17,0,1,3.75,4,1,0,0
18,0,1,5,4,1,0,0
19,0,1, ,0,1,1,1
20,0,1, ,0,1,1,1
21,0,1,3.5,2,1,0,0
22,0,1,1,2,1,0,0
23,0,1,6,1,1,0,0
24,0,1,6,1,1,0,0
25,0,1,9,3,1,1,1
26,0,1,11.6,3,1,1,1
27,0,1,2.5,2,1,0,0
28,0,1,3.5,2,1,0,0
29,0,1,33,1,1,1,1
30,0,1,8,1,1,1,1
31,0,1,10.6,3,1,1,1
32,0,1,9.6,3,1,1,1
33,0,1,5.5,4,1,1,1
34,0,1,2.5,4,1,1,1
35,0,1,9.3,3,1,1,1
36,0,1,5.6,3,1,1,1
37,0,1, ,0,1,1,1
38,0,1, ,0,1,1,1
39,0,1,20,1,1,1,1
40,0,1,20,1,1,1,1
41,0,1,8.3,3,1,0,0
42,0,1,6.6,3,1,0,0
43,0,1,7.5,2,1,0,0
44,0,1,12.5,2,1,0,0
45,0,1,4.5,2,1,1,1
46,0,1,6,2,1,1,1
47,0,1,7.5,2,1,0,0
48,0,1,8.5,2,1,0,0
49,0,1,2.6,3,1,0,0
50,0,1,3.6,3,1,0,0
51,0,1,1.5,2,1,1,1
52,0,1,2.5,2,1,1,1
53,0,1,20,1,1,0,0
54,0,1,30,1,1,0,0
55,0,1,5.6,5,1,0,1
56,0,1,3.4,5,1,0,1
57,0,1,1.3,3,1,1,1
58,0,1,2.3,3,1,0,1
59,0,1,11.75,4,1,0,0
60,0,1,8.25,4,1,0,0
61,0,1,15.1,9,1,,
62,0,1,9.3,9,1,,
63,0,1,10.6,3,1,1,1
64,0,1,5,3,1,1,1
65,0,1,40,1,1,1,1
66,0,1,15,1,1,1,1
67,0,1,10,1,1,1,1
68,0,1,30,1,1,1,1
69,0,1,17.5,2,1,1,1
70,0,1,17.5,2,1,1,1
71,0,1,15,1,1,1,1
72,0,1,20,1,1,1,1
73,0,1, ,0,1,0,0
74,0,1, ,0,1,0,0
75,0,1,2.3,3,1,0,0
76,0,1,14,3,1,0,0
77,0,1, ,0,1,1,1
78,0,1, ,0,1,1,1
79,0,1,2.5,4,1,0,0
80,0,1,7.75,4,1,0,0
81,0,1,7.2,5,1,1,1
82,0,1,1.29,5,1,1,1
83,0,1,10,1,1,0,0
84,0,1,40,1,1,0,0
85,0,1,3,7,1,1,1
86,0,1,5.14,7,1,1,1
87,0,1,11.6,3,1,1,1
88,0,1,2,3,1,1,1
89,0,1,4.6,5,1,0,0
90,0,1,3.8,5,1,0,0
91,0,1,35,1,1,1,1
92,0,1,10,1,1,1,1
93,0,1,2,2,1,0,0
94,0,1,6,2,1,0,0
95,0,1,4.16,6,1,0,0
96,0,1,6.6,6,1,0,0
97,0,1, ,0,1,1,1
