Participant Public ID,Sex,Sex-quantised,Age,IMD Score,Crime Rank,CFC Q1,CFC Q1-quantised,CFC Q2,CFC Q2-quantised,CFC Q3,CFC Q3-quantised,Q3 Reversed,CFC Q4,CFC Q4-quantised,Q4 Reversed,CFC Q5,CFC Q5-quantised,Q5 Reversed,CFC Q6,CFC Q6-quantised,CFC Q7,CFC Q7-quantised,CFC Q8,CFC Q8-quantised,CFC Q9,CFC Q9-quantised,Q9 Reversed,CFC Q10,CFC Q10-quantised,Q10 Reversed,CFC Q11,CFC Q11-quantised,Q11 Reversed,CFC Q12,CFC Q12-quantised,Q12 Reversed,CFC Mean Score,PGG Round 1,PGG Round 2,PGG Round 3,PGG Round 4,PGG Round 5,PGG Mean Contribution
4098,Female,2,18,16181,22880,5,5,5,5,1,1,5,1,1,5,5,5,1,5,5,5,5,3,3,1,1,5,1,1,5,3,3,3,5,5,1,4,1,9,2,10,7,5.8
4149,Female,2,24,16423,27893,4,4,3,3,2,2,4,3,3,3,4,4,2,2,2,5,5,3,3,1,1,5,4,4,2,3,3,3,4,4,2,3.166666667,5,10,5,10,5,7
4129,Female,2,21,16629,13585,4,4,4,4,2,2,4,2,2,4,4,4,2,3,3,3,3,4,4,2,2,4,2,2,4,3,3,3,3,3,3,3.5,3,3,3,3,3,3
4246,Female,2,18,5870,16602,5,5,3,3,1,1,5,1,1,5,5,5,1,5,5,5,5,5,5,1,1,5,2,2,4,1,1,5,2,2,4,4.333333333,10,2,10,9,9,8
4115,Female,2,20,21341,17326,4,4,3,3,4,4,2,3,3,3,3,3,3,5,5,4,4,4,4,4,4,2,3,3,3,4,4,2,3,3,3,3.166666667,3,2,8,5,6,4.8
4176,Female,2,24,2897,4820,5,5,4,4,2,2,4,2,2,4,3,3,3,4,4,3,3,4,4,4,4,2,2,2,4,2,2,4,2,2,4,3.75,5,3,7,10,4,5.8
4277,Female,2,19,4348,2131,4,4,3,3,1,1,5,1,1,5,5,5,1,2,2,5,5,4,4,2,2,4,1,1,5,2,2,4,4,4,2,3.666666667,3,7,10,10,10,8
4156,Female,2,26,8744,12561,4,4,2,2,4,4,2,4,4,2,4,4,2,3,3,2,2,4,4,4,4,2,4,4,2,4,4,2,2,2,4,2.583333333,5,5,10,10,7,7.4
4124,Male,1,19,12020,5131,4,4,4,4,3,3,3,2,2,4,5,5,1,2,2,5,5,1,1,2,2,4,4,4,2,1,1,5,5,5,1,3,10,0,5,10,10,7
3840,Female,2,20,25937,16104,4,4,3,3,1,1,5,1,1,5,2,2,4,5,5,5,5,3,3,1,1,5,1,1,5,1,1,5,3,3,3,4.333333333,10,10,10,10,10,10
